DATE,TOTRA
1923-11-21,5139.973
1923-11-28,5098.278
1923-12-05,5116.831
1923-12-12,5204.229
1923-12-19,5188.625
1923-12-26,5169.377
1924-01-02,5260.282
1924-01-09,5008.547
1924-01-16,5023.75
1924-01-23,4935.789
1924-01-30,4842.265
1924-02-06,4788.774
1924-02-13,4885.899
1924-02-20,4882.435
1924-02-27,4889.89
1924-03-05,4884.655
1924-03-12,4941.885
1924-03-19,4964.823
1924-03-26,4850.867
1924-04-02,4909.655
1924-04-09,4902.907
1924-04-16,4958.561
1924-04-23,4844.415
1924-04-30,4811.203
1924-05-07,4768.665
1924-05-14,4858.378
1924-05-21,4766.481
1924-05-28,4725.033
1924-06-04,4788.523
1924-06-11,4818.522
1924-06-18,4932.449
1924-06-25,4790.781
1924-07-02,4827.722
1924-07-09,4809.604
1924-07-16,4874.275
1924-07-23,4776.466
1924-07-30,4740.308
1924-08-06,4712.915
1924-08-13,4784.827
1924-08-20,4750.408
1924-08-27,4704.353
1924-09-03,4795.798
1924-09-10,4814.944
1924-09-17,5054.866
1924-09-24,4812.143
1924-10-01,4861.73
1924-10-08,4916.085
1924-10-15,5137.866
1924-10-22,4907.288
1924-10-29,4897.269
1924-11-05,4883.417
1924-11-12,5018.104
1924-11-19,5086.934
1924-11-26,4959.585
1924-12-03,5097.189
1924-12-10,5038.51
1924-12-17,5198.498
1924-12-24,5127.273
1924-12-31,5096.38
1925-01-07,5043.338
1925-01-14,5031.772
1925-01-21,4815.633
1925-01-28,4800.269
1925-02-04,4809.918
1925-02-11,4830.182
1925-02-18,4916.882
1925-02-25,4942.011
1925-03-04,4895.296
1925-03-11,4892.363
1925-03-18,4959.33
1925-03-25,4787.125
1925-04-01,4807.607
1925-04-08,4790.022
1925-04-15,4949.205
1925-04-22,4848.537
1925-04-29,4749.755
1925-05-06,4800.888
1925-05-13,4836.938
1925-05-20,4780.481
1925-05-27,4756.592
1925-06-03,4837.457
1925-06-10,4787.48
1925-06-17,4922.689
1925-06-24,4749.459
1925-07-01,4853.046
1925-07-08,4781.642
1925-07-15,4863.407
1925-07-22,4732.485
1925-07-29,4679.813
1925-08-05,4741.116
1925-08-12,4782.688
1925-08-19,4794.237
1925-08-26,4727.947
1925-09-02,4781.627
1925-09-09,4857.96
1925-09-16,5062.931
1925-09-23,4901.072
1925-09-30,4905.54
1925-10-07,4969.498
1925-10-14,5194.283
1925-10-21,5035.186
1925-10-28,4960.423
1925-11-04,5010.743
1925-11-10,4980.081
1925-11-18,5115.368
1925-11-25,4997.881
1925-12-02,5078.803
1925-12-09,5061.168
