,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,103.56,7.22, 125.23 ,10.07, 12.18 ,NA,,NA,,,1.01,1.19,10.54%,8.92%,1.62%
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,102.28,7.34, 124.43 ,10.23, 12.44 ,NA,,NA,,,1.01,1.22,10.39%,8.95%,1.44%
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,100.40,7.40, 122.88 ,10.31, 12.62 ,NA,,NA,,,1.01,1.23,9.89%,9.06%,0.84%
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,102.37,7.57, 126.07 ,10.56, 13.00 ,NA,,NA,,,1.01,1.27,9.22%,8.76%,0.46%
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,101.55,7.51, 125.83 ,10.47, 12.98 ,NA,,NA,,,1.01,1.27,9.43%,8.93%,0.50%
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,102.60,7.57, 127.91 ,10.56, 13.16 ,NA,,NA,,,1.01,1.29,9.98%,8.81%,1.17%
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,104.21,7.57, 130.70 ,10.56, 13.24 ,NA,,NA,,,1.01,1.30,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,105.68,7.70, 133.36 ,10.73, 13.54 ,NA,,NA,,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,107.50,7.76, 136.46 ,10.82, 13.74 ,NA,,NA,,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.10,106.79,7.76, 136.39 ,10.82, 13.82 ,NA,,NA,,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,106.79,7.70, 137.21 ,10.62, 13.65 ,NA,,NA,,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,106.55,7.64, 137.72 ,10.43, 13.48 ,NA,,NA,,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,107.97,7.59, 140.36 ,10.23, 13.30 ,NA,,NA,,,1.01,1.39,9.28%,9.03%,0.25%
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,108.48,7.47, 141.84 ,9.95, 13.02 ,NA,,NA,,,1.01,1.39,9.07%,8.95%,0.12%
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,106.91,7.59, 140.62 ,10.00, 13.16 ,NA,,NA,,,1.01,1.43,9.35%,8.90%,0.45%
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,106.55,7.66, 140.98 ,9.97, 13.20 ,NA,,NA,,,1.01,1.47,9.59%,8.94%,0.65%
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,106.79,7.60, 142.14 ,9.77, 13.01 ,NA,,NA,,,1.01,1.48,9.83%,8.77%,1.05%
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,106.37,7.48, 142.41 ,9.49, 12.70 ,NA,,NA,,,1.01,1.48,10.46%,8.83%,1.63%
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,106.31,7.48, 143.16 ,9.37, 12.61 ,NA,,NA,,,1.01,1.50,10.44%,8.83%,1.61%
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,104.60,7.42, 141.70 ,9.16, 12.41 ,NA,,NA,,,1.01,1.51,11.23%,8.80%,2.43%
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,107.22,7.42, 146.08 ,9.04, 12.31 ,NA,,NA,,,1.01,1.53,11.50%,8.54%,2.96%
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,108.15,7.42, 148.19 ,8.91, 12.21 ,NA,,NA,,,1.01,1.56,11.04%,8.16%,2.88%
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,111.35,7.49, 153.43 ,8.82, 12.15 ,NA,,NA,,,1.00,1.58,10.95%,8.28%,2.67%
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,112.85,7.49, 156.35 ,8.66, 11.99 ,NA,,NA,,,1.00,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,112.60,7.49, 156.87 ,8.49, 11.83 ,NA,,NA,,,1.00,1.60,10.90%,8.35%,2.55%
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,109.31,7.56, 153.17 ,8.39, 11.76 ,NA,,NA,,,1.00,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,109.15,7.83, 153.85 ,8.53, 12.02 ,NA,,NA,,,1.00,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,111.43,8.06, 158.02 ,8.59, 12.18 ,NA,,NA,,,1.00,1.74,11.62%,8.00%,3.62%
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,110.09,8.06, 157.07 ,8.41, 12.00 ,NA,,NA,,,1.00,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.30,0.31,10.18,1876.63,4.51,104.54,7.98, 150.10 ,8.16, 11.71 ,NA,,NA,,,1.00,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,97.24,7.91, 140.57 ,7.91, 11.43 ,NA,,NA,,,1.00,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,94.96,7.76, 138.20 ,7.59, 11.04 ,NA,,NA,,,1.00,1.71,13.84%,8.01%,5.83%
1876.11,3.60,0.30,0.29,10.56,1876.88,4.47,92.31,7.69, 135.28 ,7.35, 10.77 ,NA,,NA,,,1.00,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,90.17,7.56, 133.07 ,7.05, 10.41 ,NA,,NA,,,1.00,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,87.86,7.20, 130.54 ,6.97, 10.36 ,NA,,NA,,,1.00,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.13,4.44,84.88,7.16, 127.00 ,7.20, 10.77 ,NA,,NA,,,1.00,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,84.32,7.25, 127.07 ,7.58, 11.42 ,NA,,NA,,,1.00,1.80,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,76.07,6.81, 115.49 ,7.42, 11.26 ,NA,,NA,,,1.00,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.38,4.41,74.71,6.46, 114.25 ,7.33, 11.20 ,NA,,NA,,,1.00,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,73.30,6.58, 112.93 ,7.79, 12.00 ,NA,,NA,,,1.00,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,75.81,6.27, 117.60 ,7.76, 12.04 ,NA,,NA,,,1.00,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.80,1877.63,4.39,84.28,6.26, 131.55 ,8.10, 12.65 ,NA,,NA,,,1.00,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,90.41,6.07, 141.90 ,8.23, 12.92 ,NA,,NA,,,1.00,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,92.36,5.81, 145.73 ,8.28, 13.06 ,NA,,NA,,,1.00,1.95,12.35%,6.48%,5.87%
